DATE,year,month,gas_price,transp_ridership,cars_miles,percentage_variation
2015-11-01,2015,11,2.088,848427,248843,-0.063677130044843
2015-12-01,2015,12,1.946,850726,259424,-0.0680076628352491
2016-01-01,2016,1,1.843,796025,239679,-0.05292908530318601
2016-02-01,2016,2,1.681,832503,223011,-0.08790016277807917
2016-03-01,2016,3,1.895,907384,265147,0.12730517549077927
2016-04-01,2016,4,2.027,871083,269653,0.06965699208443278
2016-05-01,2016,5,2.199,879877,277972,0.0848544647261962
2016-06-01,2016,6,2.303,867550,276991,0.04729422464756712
2016-07-01,2016,7,2.157,809114,285160,-0.06339557099435515
2016-08-01,2016,8,2.119,864510,279213,-0.017617060732498753
2016-09-01,2016,9,2.161,884140,262039,0.019820670127418505
2016-10-01,2016,10,2.186,889002,275610,0.011568718186024948
2016-11-01,2016,11,2.105,839892,255154,-0.037053979871912154
2016-12-01,2016,12,2.192,807517,264778,0.04133016627078394
2017-01-01,2017,1,2.285,802693,242600,0.042427007299270056
2017-02-01,2017,2,2.227,777821,225644,-0.025382932166302087
2017-03-01,2017,3,2.243,886230,268343,0.007184553210597223
2017-04-01,2017,4,2.34,834677,272864,0.04324565314311189
2017-05-01,2017,5,2.303,875749,281264,-0.01581196581196578
2017-06-01,2017,6,2.257,842737,280290,-0.01997394702561868
2017-07-01,2017,7,2.211,790814,288566,-0.020381036774479513
2017-08-01,2017,8,2.297,837928,282558,0.038896426956128584
2017-09-01,2017,9,2.57,844867,265212,0.11885067479320839
2017-10-01,2017,10,2.43,910849,278888,-0.0544747081712061
2017-11-01,2017,11,2.474,831770,258159,0.01810699588477368
2017-12-01,2017,12,2.388,773762,267958,-0.034761519805982334
2018-01-01,2018,1,2.467,788672,244736,0.033082077051926374
2018-02-01,2018,2,2.488,766031,227759,0.008512363194162913
2018-03-01,2018,3,2.488,841125,270705,0.0
2018-04-01,2018,4,2.652,829115,275127,0.06591639871382643
2018-05-01,2018,5,2.808,857964,283713,0.05882352941176459
2018-06-01,2018,6,2.802,822283,282648,-0.0021367521367520598
2018-07-01,2018,7,2.77,797080,290989,-0.011420413990007148
2018-08-01,2018,8,2.768,833069,284989,-0.0007220216606499003
2018-09-01,2018,9,2.769,816289,267434,0.0003612716763006987
2018-10-01,2018,10,2.785,921343,281382,0.0057782592993860645
2018-11-01,2018,11,2.561,812423,260473,-0.08043087971274693
2018-12-01,2018,12,2.263,763255,270370,-0.11636079656384227
2019-01-01,2019,1,2.145,773669,248927,-0.05214317277949619
2019-02-01,2019,2,2.223,740735,231791,0.03636363636363629
2019-03-01,2019,3,2.443,832480,272379,0.09896536212325695
2019-04-01,2019,4,2.694,853038,273413,0.10274252967662705
2019-05-01,2019,5,2.731,861455,289711,0.013734224201930186
2019-06-01,2019,6,2.601,800261,281359,-0.04760161113145364
2019-07-01,2019,7,2.64,822014,291520,0.014994232987312629
2019-08-01,2019,8,2.521,835988,293308,-0.04507575757575766
2019-09-01,2019,9,2.489,846274,273319,-0.012693375644585494
2019-10-01,2019,10,2.497,915445,283961,0.0032141422257934943
2019-11-01,2019,11,2.48,814066,260326,-0.00680816980376448
2019-12-01,2019,12,2.469,791316,261757,-0.0044354838709677906
2020-01-01,2020,1,2.459,815015,260847,-0.004050222762251838
2020-02-01,2020,2,2.348,788599,242695,-0.045140300935339654
2020-03-01,2020,3,2.126,505660,226638,-0.09454855195911413
2020-04-01,2020,4,1.721,171450,167617,-0.1904985888993414
2020-05-01,2020,5,1.769,200586,221006,0.027890761185357243
2020-06-01,2020,6,1.998,256196,250330,0.1294516676088186
2020-07-01,2020,7,2.099,306701,265550,0.05055055055055065
2020-08-01,2020,8,2.093,318609,265060,-0.0028585040495475115
2020-09-01,2020,9,2.095,331020,257531,0.0009555661729575843
2020-10-01,2020,10,2.073,351338,266596,-0.010501193317422549
2020-11-01,2020,11,2.015,311158,238300,-0.027978774722624136
2020-12-01,2020,12,2.105,309585,241451,0.04466501240694782
2021-01-01,2021,1,2.244,292833,231030,0.06603325415676971
2021-02-01,2021,2,2.412,275803,213038,0.07486631016042766
2021-03-01,2021,3,2.725,348362,269426,0.12976782752902163
2021-04-01,2021,4,2.771,352408,259189,0.01688073394495406
2021-05-01,2021,5,2.885,374085,284326,0.04114038253338141
2021-06-01,2021,6,2.964,409972,286898,0.027383015597920342
2021-07-01,2021,7,3.044,422823,296430,0.026990553306342806
2021-08-01,2021,8,3.062,428121,287347,0.005913272010512415
2021-09-01,2021,9,3.081,463392,278076,0.006205094709340343
2021-10-01,2021,10,3.193,500296,285746,0.036351833820188285
2021-11-01,2021,11,3.275,468461,267749,0.025681177575947338
2021-12-01,2021,12,3.168,449964,268420,-0.032671755725190765
2022-01-01,2022,1,3.187,388473,240556,0.005997474747474647
2022-02-01,2022,2,3.4,424390,235737,0.06683401317853783
2022-03-01,2022,3,4.078,509555,277239,0.19941176470588248
2022-04-01,2022,4,3.96,504838,263204,-0.02893575282000989
2022-05-01,2022,5,4.272,515818,288197,0.07878787878787887
2022-06-01,2022,6,4.764,521096,282503,0.11516853932584269
2022-07-01,2022,7,4.413,494454,287033,-0.07367758186397984
2022-08-01,2022,8,3.822,531973,289352,-0.13392250169952416
2022-09-01,2022,9,3.563,561614,280847,-0.06776556776556773
